Serial,#,Date,LTP,%Change,High,Low,Open,Qty.,
1,300,3/29/2016,310,-0.96,314,305,313,"4,057",
2,299,3/30/2016,306,-1.29,316,305,310,"7,975",
3,298,3/31/2016,308,0.65,315,303,306,"7,797",
4,297,4/3/2016,313,1.62,313,301,308,"9,938",
5,296,4/4/2016,310,-0.96,315,305,313,"8,231",
6,295,4/5/2016,314,1.29,315,308,310,"6,335",
7,294,4/6/2016,306,-2.55,315,306,314,"7,395",
8,293,4/10/2016,306,0,310,302,306,"9,705",
9,292,4/11/2016,309,0.98,309,305,306,"3,793",
10,291,4/12/2016,305,-1.29,309,305,309,"2,060",
11,290,4/14/2016,310,1.64,311,301,305,"7,178",
12,289,4/17/2016,310,0,310,307,307,"3,426",
13,288,4/18/2016,309,-0.32,316,309,310,"3,413",
14,287,4/19/2016,310,0.32,310,305,309,"11,936",
15,286,4/20/2016,309,-0.32,310,306,310,"15,598",
16,285,4/21/2016,303,-1.94,308,303,309,"14,729",
17,284,4/24/2016,306,0.99,310,304,303,"7,322",
18,283,4/25/2016,302,-1.31,305,301,306,"14,693",
19,282,4/26/2016,305,0.99,308,300,302,"17,487",
20,281,4/27/2016,304,-0.33,304,300,305,"10,935",
21,280,4/28/2016,310,1.97,310,300,304,"5,412",
22,279,5/2/2016,307,-0.97,309,304,310,"12,570",
23,278,5/3/2016,327,6.51,331,305,307,"64,128",
24,277,5/4/2016,320,-2.14,326,315,327,"9,744",
25,276,5/5/2016,314,-1.88,318,310,320,"12,283",
26,275,5/8/2016,320,1.91,327,317,314,"25,974",
27,274,5/9/2016,332,3.75,338,318,321,"29,320",
28,273,5/10/2016,330,-0.6,343,330,332,"25,723",
29,272,5/11/2016,332,0.61,339,330,330,"10,800",
30,271,5/12/2016,336,1.2,344,336,332,"28,999",
31,270,5/15/2016,335,-0.3,340,330,339,"9,850",
32,269,5/16/2016,333,-0.6,340,330,335,"8,084",
33,268,5/17/2016,329,-1.2,333,328,329,"13,306",
34,267,5/18/2016,335,1.82,338,333,329,"11,248",
35,266,5/19/2016,335,0,340,330,335,"9,542",
36,265,5/22/2016,331,-1.19,337,330,335,"26,817",
37,264,5/23/2016,334,0.91,334,328,331,"14,083",
38,263,5/24/2016,332,-0.6,335,331,334,"13,309",
39,262,5/25/2016,338,1.81,338,330,332,"21,449",
40,261,5/26/2016,337,-0.3,338,330,338,"11,988",
41,260,5/29/2016,334,-0.89,349,334,337,"9,597",
42,259,5/30/2016,340,1.8,342,336,334,"12,088",
43,258,5/31/2016,374,10,374,340,340,"61,779",
44,257,6/1/2016,366,-2.14,402,354,374,"78,039",
45,256,6/2/2016,356,-2.73,365,353,366,"25,787",
46,255,6/5/2016,340,-4.49,353,340,356,"16,319",
47,254,6/6/2016,350,2.94,352,343,340,"11,655",
48,253,6/7/2016,348,-0.57,350,343,350,"9,737",
49,252,6/8/2016,349,0.29,354,342,348,"13,836",
50,251,6/9/2016,349,0,352,336,349,"26,484",
51,250,6/12/2016,356,2.01,357,344,349,"50,039",
52,249,6/13/2016,355,-0.28,363,350,356,"43,140",
53,248,6/14/2016,365,2.82,375,357,358,"67,920",
54,247,6/15/2016,359,-1.64,370,357,367,"27,350",
55,246,6/16/2016,378,5.29,394,366,359,"47,493",
56,245,6/19/2016,390,3.17,409,375,378,"90,850",
57,244,6/20/2016,386,-1.03,402,383,390,"60,257",
58,243,6/21/2016,390,1.04,400,386,386,"38,502",
59,242,6/22/2016,396,1.54,404,388,397,"29,094",
